perfis,grauSatisfacao,observacao,versao,dataHora,municipio
"[""AGENDA"",""RECEPÇÃO""]",SATISFEITO,Nada à reclamar.,5.0.4,09-08-2022 11:30:55,PALMAS/TO
"[""ESCUTA INICIAL"",""ENFERMEIRO""]",INDIFERENTE,FALTA CODIGO DE PROCEDIMENTO PARA CLASSIFICAÇÃO DE RISCO EM URGÊNCIA E EMERGÊNCIA.,5.0.4,09-08-2022 11:32:36,PALMAS/TO
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM DOURADOS""]",INSATISFEITO,"Modulo vacina continua desatualizado, e as demoras nas atualização.",5.0.4,09-08-2022 11:34:22,DOURADOS/MS
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INSATISFEITO,"sim, precisamos que o relatório de H.A seja mais resolutivo, onde possamos tirar o relatório e ver cada individuo e nao como esta hoje.",5.0.4,09-08-2022 12:33:31,DOURADOS/MS
"[""VISUALIZAÇÃO AGENDA"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INSATISFEITO,Dificutou a visualização do histórico de consultas.,5.0.4,09-08-2022 12:39:27,ARUJÁ/SP
"[""RECEPÇÃO"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",SATISFEITO,dourados,5.0.4,09-08-2022 13:37:31,DOURADOS/MS
"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""FARMACÊUTICO""]",INDIFERENTE,Registro tardio aceitar o horário correto em que foi realizado o atendimento. Aceita somente após o último atendimento.,5.0.4,09-08-2022 13:50:01,PALMAS/TO
"[""ESCUTA INICIAL"",""ENFERMEIRO"",""GESTOR DA UNIDADE""]",SATISFEITO,lembretes para a proxima consulta,5.0.4,09-08-2022 14:17:25,PALMAS/TO
"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""FISIOTERAPEUTA NASF""]",SATISFEITO,Falta registrar a falta do paciente no histórico.,5.0.4,09-08-2022 15:27:35,PALMAS/TO
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",SATISFEITO,"gostaria de sugerir  que,  incluísse o campo de registro da   vitamina A NA pagina que registra as vacinas, pois toda vez é preciso retornar a atendimento para poder finalizar.",5.0.4,09-08-2022 16:27:44,PALMAS/TO
"[""ESCUTA INICIAL"",""ENFERMEIRO""]",SATISFEITO,Permitir correção após o atendimento do paciente. Exemplo: permitir corrigir erro no cid-10.,5.0.4,09-08-2022 17:23:52,PALMAS/TO
"[""AGENDA"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM""]",INSATISFEITO,dificil ver historico do paciente . antes digitava o mome do profissional e conseguia,5.0.4,10-08-2022 10:08:49,MARÍLIA/SP
"[""ENFERMEIRO"",""ESCUTA INICIAL""]",SATISFEITO,"Gostaria de um local no SOAP, onde pudesse colocar imagens e arquivos de exames, no caso da imagem de uma lesão de pele seria fundamental para vermos a evolução da mesma, em relação a colocar arquivos de exames ganharíamos tempo, visto que a digitação consome um período de tempo grande.",5.0.4,10-08-2022 10:47:46,PELOTAS/RS
"[""RECEPÇÃO""]",INDIFERENTE,"Falta unificação de cadastro, o ESUS esta cheio de cadastros da mesma pessoa repitido",5.0.4,10-08-2022 10:52:40,PELOTAS/RS
"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",MUITO_INSATISFEITO,não gostei desse novo modelo.,5.0.4,10-08-2022 11:01:04,PALMAS/TO
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",SATISFEITO,pelotas.,5.0.4,10-08-2022 11:08:30,PELOTAS/RS
"[""DIGITADOR"",""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INDIFERENTE,"Necessita campo para inserção de diagnósticos de enfermagem e resultados de enfermagem. A exemplo do CIAP, onde busca e insere, ter um campo de diagnóstico de enfermagem e resultados de enfermagem (CIPE).",5.0.4,10-08-2022 11:16:27,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",SATISFEITO,"quadrado de tirar varias cópias muito pequeno, Dourados ms",5.0.4,10-08-2022 11:24:57,DOURADOS/MS
"[""MÉDICO"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,horrível,5.0.4,10-08-2022 11:38:01,PELOTAS/RS
"[""MÉDICO"",""ESCUTA INICIAL""]",INDIFERENTE,Facilitar conclusão de pré-natal,5.0.4,10-08-2022 12:11:49,PELOTAS/RS
"[""ESCUTA INICIAL"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""CADASTRO CIDADÃO""]",MUITO_SATISFEITO,"gostaria que a interface melhorasse o sistema de lançamento das visitas no que diz respeito ao lançamento do cartão do sus do cidadão poderia ser mais intuitivo, como por exemplo abrir o cadastro da família e laçar os dependentes que foram acompanhados naquele mês somente com um clique, isso iria agilizar nosso trabalho com certeza e também se  o sistema fosse interligado com o do auxilio brasil na hora de lançar o peso e altura dos beneficiários do programa, nesse quesito iria melhora em muito.",5.0.4,10-08-2022 12:29:08,PALMAS/TO
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",INSATISFEITO,"porque alguns procedimento não podemos registrar no sistema como teste do pezinho, entrega de medicação de uso continuo, temos que registrar outra coisa para dar finalização ao atendimento. Pelotas RS",5.0.4,10-08-2022 14:29:26,null
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,com seguimentos não especificos,5.0.4,10-08-2022 16:12:17,PELOTAS/RS
"[""RECEPÇÃO"",""RECEPCAO PERFIL SMS""]",MUITO_INSATISFEITO,orrivel porcaria,5.0.4,10-08-2022 16:36:46,PELOTAS/RS
"[""MÉDICO"",""ESCUTA INICIAL""]",MUITO_SATISFEITO,"Acho que a área do exame físico poderia ficar menor poluída, visualmente falando...",5.0.4,10-08-2022 17:01:43,PELOTAS/RS
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,precisa melhorar muita coisa,5.0.4,10-08-2022 21:30:10,DOURADOS/MS
"[""ESCUTA INICIAL"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE""]",INSATISFEITO,"no relatório precisamos da data de nascimento do paciente,as vezes o paciente esta no cadastro domiciliar e não aparece no cadastro individual,as vezes esta no sistema e quando fizemos a impressão não aparece",5.0.4,11-08-2022 13:13:50,PELOTAS/RS
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""ESCUTA INICIAL""]",INSATISFEITO,sincronização urgente com Cadweb. URGENTE!!!,5.0.4,11-08-2022 13:42:06,DOURADOS/MS
"[""RECEPÇÃO""]",INDIFERENTE,Muitas vezes não carrega mesmo quando tem internet.,5.0.4,11-08-2022 16:00:18,PELOTAS/RS
"[""ESCUTA INICIAL"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE""]",INSATISFEITO,gera muitas inconstitencias,5.0.4,11-08-2022 17:01:02,PELOTAS/RS
"[""CIRURGIÃO DENTISTA""]",INSATISFEITO,ATIVIO LATENTE RESOLVIDO  CONFUSO,5.0.4,12-08-2022 10:16:26,PALMAS/TO
"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",INSATISFEITO,ficou muito confuso,5.0.4,12-08-2022 11:28:48,PALMAS/TO
"[""MEDICO UPA""]",MUITO_INSATISFEITO,Horrível!,5.0.4,12-08-2022 22:14:18,PALMAS/TO
"[""ESCUTA INICIAL"",""ENFERMEIRO""]",SATISFEITO,bom:ficou muito mais acessivel  analisar o prontuário como um todo ruim: o local de inserir os sinais poderia ser mais juntinho,5.0.4,13-08-2022 09:58:20,PALMAS/TO
"[""ESCUTA INICIAL"",""MÉDICO"",""DIGITADOR""]",SATISFEITO,"Se possível ampliaria a janela do Subjetivo, pois quando estamos escrevendo aparecem poucas linhas.",5.0.4,14-08-2022 02:06:25,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""VISUALIZAR PRONTUÁRIOS"",""UNIFICAÇÃO DE CADASTRO"",""DIGITADOR""]",SATISFEITO,Precisa adicionar procedimento administrativo no inicio. No ciape precisa adicionar toxoplasmose gestante.  Consulta em hanseníase para enfermeiro e o procedimento lavagem de ouvido,5.0.4,14-08-2022 15:05:25,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""UNIFICAÇÃO DE CADASTRO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA"",""DIGITADOR""]",INDIFERENTE,"Faltam alguns procedimentos para serem lançados como por exemplo, troca de sonda vesical de demora e troca de sonda de cistostomia;",5.0.4,15-08-2022 09:48:50,BRASÍLIA/DF
"[""TSB - TÉCNICO DE SAÚDE BUCAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""ASB - AUXILIAR DE SAÚDE BUCAL"",""RECEPÇÃO"",""AGENDA"",""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO"",""CIRURGIÃO DENTISTA"",""CIDADÃO"",""COORDENADOR DA UBS"",""DIGITADOR""]",INDIFERENTE,"melhoraria o layout, parte de protese nao precisa ficar perguntando toda vez.",5.0.4,15-08-2022 10:04:15,MARÍLIA/SP
"[""MEDICO UPA""]",INSATISFEITO,"achei a nova versaõ bem ruim pra ser sincera. muito textos alocados, poluição visual, muita informação junta. o modelo antigo era bem mais didático. acredito que precisava de melhorias sim, mas a nova versão deixou a desejar. por gentileza revejão. grata!",5.0.4,15-08-2022 10:08:17,PALMAS/TO
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL"",""AGENDA""]",INSATISFEITO,A parte odontológica está ruim,5.0.4,15-08-2022 10:40:08,BRASÍLIA/DF
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""RECEPÇÃO"",""ESCUTA INICIAL"",""UNIFICAÇÃO DE CADASTRO""]",MUITO_INSATISFEITO,com a nova atualização a sincronização com o Cadsus ficou ineficiente.,5.0.4,15-08-2022 10:52:43,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""MÉDICO"",""DIGITADOR""]",SATISFEITO,"gostaria que nao fosse mais necessario reinserir na parte médica os dados de acolhimento (pa, oximetria glicemia). Ja os vemos na aba de acolhimento, ter que digita-los novamente é resserviço, perda de tempo. Sugiro tambem fazer uma aba de atestado para os pais que vao cuidar das crianças, famoso cid z76.3, pois so consigo fazer o atestado para o paciente, nunca para os responsaveis que vao tomar conta da criança. Sugiro tb uma maneira de mudar a corda fonte dos relatorios,as vezes fica ilegivel",5.0.4,15-08-2022 10:55:21,BRASÍLIA/DF
"[""VISUALIZAR RELATÓRIO DE VACINAS"",""ESCUTA INICIAL"",""MÉDICO"",""VISUALIZAR PRONTUÁRIOS"",""AGENDA"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""UNIFICAÇÃO DE CADASTRO"",""DIGITADOR"",""ADMINISTRAR PERFIS E AGENDAS""]",INDIFERENTE,Precisa voltar a opção de selecionar todos ou desmarcar todos na impressão das prescrições. Precisar conseguir sair da tela de impressão com menos cliques (hoje precise cancelar 3 telas pra voltar ao SOAP),5.0.4,15-08-2022 11:01:48,BRASÍLIA/DF
"[""TSB - TÉCNICO DE SAÚDE BUCAL"",""RECEPÇÃO"",""ESCUTA INICIAL"",""AGENDA"",""TSB - TÉCNICO EM SAÚDE BUCAL DA ESF"",""UNIFICAÇÃO DE CADASTRO""]",INDIFERENTE,"A maioria das vezes que preciso unificar cadastro, não esta ativa a opção para unificar, depois que se seleciona os dois cadastros.",5.0.4,15-08-2022 11:16:06,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""MÉDICO"",""DIGITADOR""]",INDIFERENTE,Algumas  anotaçoes como consultas de pré-natal e vacinas poderiam ter visualização integrado ao quadro do paciente.,5.0.4,15-08-2022 11:17:41,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""ENFERMEIRO""]",SATISFEITO,FALTA NOTIFICAÇÃO DE COVID  VARIOLA,5.0.4,15-08-2022 11:37:56,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""ENFERMEIRO"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA"",""DIGITADOR"",""ADMINISTRAR PERFIS E AGENDAS""]",MUITO_INSATISFEITO,"Meu nome foi alterado em TODOS OS MEUS DOCUMENTOS, E VCS INSISTEM EM COLOCAR ERRADO. FOI ALTERADO ATÉ NA RECEITA FEDERAL. ME CHAMO ROSANA FERNANDES PEREIRA BEZERRA.",5.0.4,15-08-2022 12:37:48,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO""]",INDIFERENTE,"as melhoras foram impressionantes.  O fato de ter aumentado os caracteries para os exames, poder colocar todos ao mesmo tempo, ajudou muito.  A dificuldade agora está sendo encontrar os pacientes que estavam cadastrados apenas com o SUS e a falta de coneccção com o cad-sus para atualizar os cadastros.",5.0.4,15-08-2022 14:41:54,BRASÍLIA/DF
"[""CIRURGIÃO DENTISTA"",""RECEPÇÃO"",""ESCUTA INICIAL"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""UNIFICAÇÃO DE CADASTRO""]",SATISFEITO,O odontograma poderia permitir RETIRAR as condições marcadas nos dentes com a mesma facilidade que aprerenta agora par replicar,5.0.4,15-08-2022 16:36:45,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""ENFERMEIRO"",""AGENDA"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA""]",INSATISFEITO,"As telas do SOAP estão muito poluídas, excesso de informções, a dos exames é a pior, gerando muita confusão.",5.0.4,15-08-2022 17:39:30,BRASÍLIA/DF
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",SATISFEITO,"Mais ainda acho que pode melhorar no registro alguns procedimento, com teste do pezinho,  na entrega de medicação de uso continuo  para finalização do procedimento",5.0.4,15-08-2022 18:19:03,PELOTAS/RS
"[""ESCUTA INICIAL"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE""]",INDIFERENTE,"Tenho dificuldade de gerar relatórios de gestante, crianças, etc  corretos da minha micro área",5.0.4,15-08-2022 19:01:46,PELOTAS/RS
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""UNIFICAÇÃO DE CADASTRO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA""]",INDIFERENTE,"O formulário do acompanhamento de gestante, mesmo quando a mesma é retirada da condição de gestante permanece mais de meses no formulário de acompanhamento. Quando é registrado a DUM, mesmo que a paciente não seja gestante aparece na lista de acompanhamento também.",5.0.4,16-08-2022 09:26:47,BRASÍLIA/DF
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""RECEPÇÃO"",""ESCUTA INICIAL"",""AGENDA""]",INSATISFEITO,"Relatórios mais especifico de gravidas,hipertensos, diabetico e etc. Mais distrinchado para melhor visualização.",5.0.4,16-08-2022 09:35:10,BRASÍLIA/DF
"[""OUTRO PROF. NÍVEL SUPERIOR"",""ESCUTA INICIAL"",""AGENDA""]",INSATISFEITO,"Todos os encaminhamentos que eu faço para CAPS aparecem como encaminhamento para atenção secundária nos relatórios e o campo ""Encaminhamento para CAPS"" aparece 0 encaminhamentos.",5.0.4,16-08-2022 09:43:35,BRASÍLIA/DF
"[""CIRURGIÃO DENTISTA"",""RECEPÇÃO"",""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA ESF"",""GERENTE DE SERVIÇOS DE ATENÇÃO PRIMÁRIA"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""UNIFICAÇÃO DE CADASTRO""]",SATISFEITO,é necessário mais agilidade para que os casos resolvidos de gestação deixem de constar no relatório de gestantes e puérperas.,5.0.4,16-08-2022 09:53:06,BRASÍLIA/DF
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL"",""DIGITADOR""]",INSATISFEITO,"muit5o confuso,pior do que o anterior",5.0.4,16-08-2022 09:55:31,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA"",""DIGITADOR""]",INSATISFEITO,deixar mais evidente o campo sinais vitais,5.0.4,16-08-2022 10:01:39,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""MÉDICO"",""AGENDA"",""DIGITADOR""]",SATISFEITO,finalização de pre natal tenho dificuldade,5.0.4,16-08-2022 10:02:02,BRASÍLIA/DF
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""RECEPÇÃO"",""ESCUTA INICIAL"",""AGENDA""]",INSATISFEITO,"quando o paciente for atualizado, deve ser em tudo nos e-sus",5.0.4,16-08-2022 10:02:25,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""UNIFICAÇÃO DE CADASTRO""]",SATISFEITO,INTERNET NA UBS MUITO LENTA,5.0.4,16-08-2022 10:03:00,BRASÍLIA/DF
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL"",""AGENDA"",""DIGITADOR""]",INSATISFEITO,Permitir poder alterar um tempo após ter encerrado o atendimento se porventura houver necessidade de corrigir algo anotado erroneamente. Pois já aconteceu de  anotar equivocadamente oprocedimento no prontuário eletrônico de outro paciente . Espero ter sido  objetivo. Obrigado,5.0.4,16-08-2022 10:03:19,BRASÍLIA/DF
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL"",""AGENDA"",""DIGITADOR""]",INDIFERENTE,"Criar uma pagina para plano de tratamento odontológico funcional, exemplo: abrir o prontuário do paciente e já visualizá-lo.",5.0.4,16-08-2022 10:04:10,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""VISUALIZAR PRONTUÁRIOS"",""AGENDA"",""UNIFICAÇÃO DE CADASTRO"",""DIGITADOR""]",SATISFEITO,"Endereços do CDS /cadastros poderiam devia ter opção de ser classificado por ordem alfabética. Atrapalha muito a base local não atualizar os dados no CADSUS. Ter um espaço de visualização maior do texto que escrevemos nas opções do SOAP facilitaria a revisão do atendimento. Devia haver uma aba permanente para sugestões, pois muitas vezes elas surgem e a gente não lembra delas quando chega a pesquisa.",5.0.4,16-08-2022 10:05:36,BRASÍLIA/DF
"[""AGENDA"",""OUTRO PROF. NÍVEL SUPERIOR"",""MÉDICO AD"",""CIDADÃO"",""COORDENADOR DA UBS"",""DIGITADOR"",""MÉDICO"",""ESCUTA INICIAL""]",INSATISFEITO,"A LISTA DE ATENDIMENTO,NÃO ESTA ATUALIZANDO CONFORME INTRODUÇÃO DE PROCEDIMENTOS NA MESMA.",5.0.4,16-08-2022 10:06:05,MARÍLIA/SP
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA"",""AUXILIAR OU TECNICO DE ENFERMAGEM DA ESF"",""DIGITADOR""]",INSATISFEITO,modelo da agenda anterior era muito mais pratica. era mais facil cancelar reservas da agenda. fora que a visualização era mais pratica.,5.0.4,16-08-2022 10:10:54,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""MÉDICO"",""DIGITADOR""]",MUITO_INSATISFEITO,"Excesso de itens,poluição visual",5.0.4,16-08-2022 10:13:53,BRASÍLIA/DF
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,"SISTEMA TRAVA, FALTA INFORMAÇÕES PARA MELHOR REGISTRO.",5.0.4,16-08-2022 10:14:21,PELOTAS/RS
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA""]",MUITO_INSATISFEITO,NÃO SINCRONIZA COM FREQUÊNCIA E NÃO TEM ACESSO AO CADSUS,5.0.4,16-08-2022 10:14:28,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM""]",INSATISFEITO,Mesmo após as atualizações os lançamentos das vacinas não condiz com a Norma Normativa do Calendário de Vacinação,5.0.4,16-08-2022 10:14:33,BRASÍLIA/DF
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""RECEPÇÃO"",""ESCUTA INICIAL"",""VISUALIZAR PRONTUÁRIOS""]",INSATISFEITO,mais de 6 meses sem se comunicar com o cadsus.,5.0.4,16-08-2022 10:15:41,BRASÍLIA/DF
"[""OUTRO PROF. NÍVEL SUPERIOR"",""RECEPÇÃO"",""ESCUTA INICIAL"",""DIGITADOR""]",SATISFEITO,"Sugiro mudar a formatação das letra para negrito, devido ao fato da minha deficiência visual",5.0.4,16-08-2022 10:19:47,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""ENFERMEIRO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA""]",SATISFEITO,"Excelente o recurso para excluir as vacinas que foram inseridas erradas, parabéns. Agora a dificuldade de encontrar um CIAP que se enquadra no atendimento e muito grande, Exemplo: a primeira consulta , a consulta de 7 dias do puerpério. Não tem um CIAP que encaixe no atendimento. Outra consulta é do COVID, ja estamos no 3º ano de pandemia, e ainda não existe um CIAP especifico para COVID, para atendimento de pacientes positivos para COVID. .",5.0.4,16-08-2022 10:21:40,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AUXILIAR OU TECNICO DE ENFERMAGEM DA ESF"",""DIGITADOR""]",SATISFEITO,Inserir opção de editar atendimento. Pois há a necessidade de corrigir alguma informação laçada errada ou em paciente errado.,5.0.4,16-08-2022 10:21:59,BRASÍLIA/DF
"[""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""MÉDICO"",""ADMINISTRADOR ESTADUAL""]",SATISFEITO,"Favor, ativar possibilidade de formatação do texto em campos abertos nas prescrições e nos resultados de exames para destacar as alterações importantes.",5.0.4,16-08-2022 10:22:42,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""MÉDICO"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO""]",SATISFEITO,"precisa ampliar a notificação de doenças e articular com o sinan . alguns exames e encaminhamentos não tem disponíveis como NASF , por exemplo , CAPS e tb não tem opção para preenchermos manualmente",5.0.4,16-08-2022 10:23:46,BRASÍLIA/DF
"[""COORDENADOR DA UBS"",""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA"",""DIGITADOR""]",SATISFEITO,VOLTAR A  APARECER A UNIDADE DE SAUDE VINCULADA NA TELA PRINCIPAL,5.0.4,16-08-2022 10:24:00,BRASÍLIA/DF
"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""COORDENADOR DA UBS"",""RECEPÇÃO"",""ESCUTA INICIAL"",""AGENDA""]",INSATISFEITO,SISTEMA DEVERIA CONCLUIR AS ATUALIZAÇÕES NO MESMO MOMENTO FEITO E NÃO SO SABER SE DEU CERTO OU NÃO NO OUTRO DIA!!!! DEIXA DÚVIDAS POR ESSE MOTIVO PERDEMOS TEMPO NO OUTRO DIA CONFERINDO TODOS OS DADOS NOVAMENTE!!!,5.0.4,16-08-2022 10:25:05,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA"",""DIGITADOR""]",SATISFEITO,tirar os pontinho qdo agente digita cfp no cadastro individual,5.0.4,16-08-2022 10:25:58,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""DIGITADOR""]",INSATISFEITO,Não está gerando CNs para os novos cadastros criados.,5.0.4,16-08-2022 10:26:08,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA""]",INSATISFEITO,não tem como fazer correçoes e falta alguns ciap ex: pré-natal do parceiro,5.0.4,16-08-2022 10:26:49,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA/EVOLUÇÃO/DIGITADOR/ATENDIMENTO"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM ESF""]",MUITO_SATISFEITO,"OBS: PRECISAMOS DE UM ICONE SO PARA ORIENTAÇÕES DE SAÚDE, E DE QUANTIDADE DE MEDICAÇÕES ADMINISTRADAS, EXEMPLOS - 2 IV 2 IM E ETC.",5.0.4,16-08-2022 10:28:16,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA"",""DIGITADOR""]",INSATISFEITO,Não tem a opção de editar um atendimento ou antropometria após salvá-lo.,5.0.4,16-08-2022 10:28:40,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""AGENDA"",""DIGITADOR""]",INSATISFEITO,mais rapidez,5.0.4,16-08-2022 10:28:44,BRASÍLIA/DF
"[""ESCUTA INICIAL"",""MÉDICO"",""VISUALIZAR PRONTUÁRIOS"",""DIGITADOR""]",SATISFEITO,p/ sair de ou fechar uma prescrição (após a impressão) são necessários muitos cliques.,5.0.4,16-08-2022 10:29:55,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA"",""DIGITADOR""]",MUITO_INSATISFEITO,"Tela poluída, muita informações visualmente",5.0.4,16-08-2022 10:30:38,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""AUXILIAR OU TECNICO DE ENFERMAGEM DA ESF""]",SATISFEITO,"O módulo cidadão não está funcionando, o que atrasa o atendimento.",5.0.4,16-08-2022 10:30:50,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""ENFERMEIRO"",""ENFERMEIRO DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA"",""DIGITADOR""]",SATISFEITO,"ENCERRAR O PARTO E NO MESMO E-SUS INICIAR PRÉ NATAL, POIS ATUALMENTE TEM QUE INSERIR O NOME DO PACIENTE PARA ENCERRAR , FINALIZAR, DEPOIS ABRIR NOVAMENTE E INICIAR OUTRA CONSULTA. ISSO LEVA MUITO TEMPO.",5.0.4,16-08-2022 10:34:35,BRASÍLIA/DF
"[""RECEPÇÃO"",""ESCUTA INICIAL"",""MÉDICO"",""DIGITADOR""]",SATISFEITO,Parabéns pela melhoria contínua.,5.0.4,16-08-2022 10:36:29,BRASÍLIA/DF
